Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
08/13/2013,X (Nov 13),16.7,17,16.65,16.95,17,0.15,9148,0,37427
08/14/2013,X (Nov 13),16.97,17.2,16.77,17.16,17.2,0.2,9502,0,36787
08/15/2013,X (Nov 13),17.3,17.66,17.25,17.57,17.6,0.4,15708,6,37419
08/16/2013,X (Nov 13),17.5,17.6,17.05,17.4,17.45,-0.15,16194,0,37826
08/19/2013,X (Nov 13),17.45,17.7,17.28,17.66,17.7,0.25,11987,1,38123
08/20/2013,X (Nov 13),17.65,17.73,17,17.41,17.45,-0.25,14817,0,38310
08/21/2013,X (Nov 13),17.5,17.77,16.93,17.63,17.65,0.2,30268,0,37501
08/22/2013,X (Nov 13),17.5,17.55,16.95,17,17.05,-0.6,17463,0,38511
08/23/2013,X (Nov 13),17.01,17.06,16.8,16.9,16.95,-0.1,11712,0,40243
08/26/2013,X (Nov 13),16.95,17.45,16.6,17.3,17.3,0.35,19058,0,40080
08/27/2013,X (Nov 13),17.45,18.45,17.4,18.4,18.4,1.1,31645,0,40596
08/28/2013,X (Nov 13),18.4,18.61,17.91,18.35,18.4,0,18551,0,42347
08/29/2013,X (Nov 13),18.2,18.57,18,18.43,18.45,0.05,19538,0,42625
08/30/2013,X (Nov 13),18.3,18.86,18.3,18.6,18.65,0.2,20902,0,43049
09/03/2013,X (Nov 13),18.3,18.4,17.8,18.15,18.2,-0.45,23168,0,43498
09/04/2013,X (Nov 13),18.15,18.3,17.95,18.05,18.1,-0.1,13915,0,44574
09/05/2013,X (Nov 13),18,18.15,17.83,17.96,18,-0.1,17035,0,44871
09/06/2013,X (Nov 13),17.9,18.5,17.65,18.15,18.2,0.2,27025,0,48952
09/09/2013,X (Nov 13),18.05,18.05,17.45,17.5,17.55,-0.65,17233,0,49864
09/10/2013,X (Nov 13),17.3,17.32,17,17.1,17.15,-0.4,17731,0,49779
09/11/2013,X (Nov 13),17.1,17.14,16.5,16.65,16.7,-0.45,19698,0,52400
09/12/2013,X (Nov 13),16.65,16.89,16.4,16.65,16.7,0,15828,0,54483
09/13/2013,X (Nov 13),16.7,16.85,16.43,16.6,16.65,-0.05,21255,0,57646
09/16/2013,X (Nov 13),16.2,16.5,16.1,16.4,16.45,-0.2,19375,0,60247
